Date,Visitor,PTS,Home,PTS
"Tue, Oct 16, 2018",PHI,87,BOS,105
"Tue, Oct 16, 2018",OKC,100,GSW,108
"Wed, Oct 17, 2018",MIL,113,CHA,112
"Wed, Oct 17, 2018",BKN,100,DET,103
"Wed, Oct 17, 2018",NOP,131,HOU,112
"Wed, Oct 17, 2018",MEM,83,IND,111
"Wed, Oct 17, 2018",DEN,107,LAC,98
"Wed, Oct 17, 2018",ATL,107,NYK,126
"Wed, Oct 17, 2018",MIA,101,ORL,104
"Wed, Oct 17, 2018",DAL,100,PHX,121
"Wed, Oct 17, 2018",UTA,123,SAC,117
"Wed, Oct 17, 2018",MIN,108,SAS,112
"Wed, Oct 17, 2018",CLE,104,TOR,116
"Thu, Oct 18, 2018",CHI,108,PHI,127
"Thu, Oct 18, 2018",LAL,119,POR,128
"Thu, Oct 18, 2018",MIA,113,WAS,112
"Fri, Oct 19, 2018",NYK,105,BKN,107
"Fri, Oct 19, 2018",OKC,92,LAC,108
"Fri, Oct 19, 2018",ATL,117,MEM,131
"Fri, Oct 19, 2018",IND,101,MIL,118
"Fri, Oct 19, 2018",CLE,123,MIN,131
"Fri, Oct 19, 2018",SAC,129,NOP,149
"Fri, Oct 19, 2018",CHA,120,ORL,88
"Fri, Oct 19, 2018",BOS,101,TOR,113
"Fri, Oct 19, 2018",GSW,124,UTA,123
"Sat, Oct 20, 2018",DET,118,CHI,116
"Sat, Oct 20, 2018",MIN,136,DAL,140
"Sat, Oct 20, 2018",PHX,91,DEN,119
"Sat, Oct 20, 2018",BKN,112,IND,132
"Sat, Oct 20, 2018",HOU,124,LAL,115
"Sat, Oct 20, 2018",CHA,113,MIA,112
"Sat, Oct 20, 2018",BOS,103,NYK,101
"Sat, Oct 20, 2018",ORL,115,PHI,116
"Sat, Oct 20, 2018",SAS,108,POR,121
"Sat, Oct 20, 2018",TOR,117,WAS,113
"Sun, Oct 21, 2018",ATL,133,CLE,111
"Sun, Oct 21, 2018",GSW,98,DEN,100
"Sun, Oct 21, 2018",HOU,112,LAC,115
"Sun, Oct 21, 2018",SAC,131,OKC,120
"Mon, Oct 22, 2018",ORL,93,BOS,90
"Mon, Oct 22, 2018",CHI,109,DAL,115
"Mon, Oct 22, 2018",PHX,103,GSW,123
"Mon, Oct 22, 2018",SAS,143,LAL,142
"Mon, Oct 22, 2018",NYK,113,MIL,124
"Mon, Oct 22, 2018",IND,91,MIN,101
"Mon, Oct 22, 2018",WAS,125,POR,124
"Mon, Oct 22, 2018",CHA,106,TOR,127
"Mon, Oct 22, 2018",MEM,92,UTA,84
"Tue, Oct 23, 2018",SAC,112,DEN,126
"Tue, Oct 23, 2018",PHI,132,DET,133
"Tue, Oct 23, 2018",LAC,109,NOP,116
"Wed, Oct 24, 2018",DAL,104,ATL,111
"Wed, Oct 24, 2018",CHA,110,CHI,112
"Wed, Oct 24, 2018",BKN,102,CLE,86
"Wed, Oct 24, 2018",WAS,122,GSW,144
"Wed, Oct 24, 2018",UTA,100,HOU,89
"Wed, Oct 24, 2018",NYK,87,MIA,110
