Date,Visitor,PTS,Home,PTS
"Sat, Apr 13, 2019",SAS,101,DEN,96
"Sat, Apr 13, 2019",LAC,104,GSW,121
"Sat, Apr 13, 2019",BKN,111,PHI,102
"Sat, Apr 13, 2019",ORL,104,TOR,101
"Sun, Apr 14, 2019",IND,74,BOS,84
"Sun, Apr 14, 2019",UTA,90,HOU,122
"Sun, Apr 14, 2019",DET,86,MIL,121
"Sun, Apr 14, 2019",OKC,99,POR,104
"Mon, Apr 15, 2019",LAC,135,GSW,131
"Mon, Apr 15, 2019",BKN,123,PHI,145
"Tue, Apr 16, 2019",SAS,105,DEN,114
"Tue, Apr 16, 2019",OKC,94,POR,114
"Tue, Apr 16, 2019",ORL,82,TOR,111
"Wed, Apr 17, 2019",IND,91,BOS,99
"Wed, Apr 17, 2019",UTA,98,HOU,118
"Wed, Apr 17, 2019",DET,99,MIL,120
"Thu, Apr 18, 2019",PHI,131,BKN,115
"Thu, Apr 18, 2019",GSW,132,LAC,105
"Thu, Apr 18, 2019",DEN,108,SAS,118
"Fri, Apr 19, 2019",BOS,104,IND,96
"Fri, Apr 19, 2019",POR,108,OKC,120
"Fri, Apr 19, 2019",TOR,98,ORL,93
"Sat, Apr 20, 2019",PHI,112,BKN,108
"Sat, Apr 20, 2019",MIL,119,DET,103
"Sat, Apr 20, 2019",DEN,117,SAS,103
"Sat, Apr 20, 2019",HOU,104,UTA,101
"Sun, Apr 21, 2019",BOS,110,IND,106
"Sun, Apr 21, 2019",GSW,113,LAC,105
"Sun, Apr 21, 2019",POR,111,OKC,98
"Sun, Apr 21, 2019",TOR,107,ORL,85
"Mon, Apr 22, 2019",MIL,127,DET,104
"Mon, Apr 22, 2019",HOU,91,UTA,107
"Tue, Apr 23, 2019",SAS,90,DEN,108
"Tue, Apr 23, 2019",BKN,100,PHI,122
"Tue, Apr 23, 2019",OKC,115,POR,118
"Tue, Apr 23, 2019",ORL,96,TOR,115
"Wed, Apr 24, 2019",LAC,129,GSW,121
"Wed, Apr 24, 2019",UTA,93,HOU,100
"Thu, Apr 25, 2019",DEN,103,SAS,120
"Fri, Apr 26, 2019",GSW,129,LAC,110
"Sat, Apr 27, 2019",SAS,86,DEN,90
"Sat, Apr 27, 2019",PHI,95,TOR,108
"Sun, Apr 28, 2019",HOU,100,GSW,104
"Sun, Apr 28, 2019",BOS,112,MIL,90
"Mon, Apr 29, 2019",POR,113,DEN,121
"Mon, Apr 29, 2019",PHI,94,TOR,89
"Tue, Apr 30, 2019",HOU,109,GSW,115
"Tue, Apr 30, 2019",BOS,102,MIL,123
"Wed, May 1, 2019",POR,97,DEN,90
"Thu, May 2, 2019",TOR,95,PHI,116
"Fri, May 3, 2019",MIL,123,BOS,116
"Fri, May 3, 2019",DEN,137,POR,140
"Sat, May 4, 2019",GSW,121,HOU,126
"Sun, May 5, 2019",TOR,101,PHI,96
"Sun, May 5, 2019",DEN,116,POR,112
"Mon, May 6, 2019",MIL,113,BOS,101
"Mon, May 6, 2019",GSW,108,HOU,112
"Tue, May 7, 2019",POR,98,DEN,124
"Tue, May 7, 2019",PHI,89,TOR,125
"Wed, May 8, 2019",HOU,99,GSW,104
"Wed, May 8, 2019",BOS,91,MIL,116
"Thu, May 9, 2019",TOR,101,PHI,112
"Thu, May 9, 2019",DEN,108,POR,119
"Fri, May 10, 2019",GSW,118,HOU,113
"Sun, May 12, 2019",POR,100,DEN,96
"Sun, May 12, 2019",PHI,90,TOR,92
"Tue, May 14, 2019",POR,94,GSW,116
"Wed, May 15, 2019",TOR,100,MIL,108
"Thu, May 16, 2019",POR,111,GSW,114
"Fri, May 17, 2019",TOR,103,MIL,125
"Sat, May 18, 2019",GSW,110,POR,99
"Sun, May 19, 2019",MIL,112,TOR,118
"Mon, May 20, 2019",GSW,119,POR,117
"Tue, May 21, 2019",MIL,102,TOR,120
"Thu, May 23, 2019",TOR,105,MIL,99
"Sat, May 25, 2019",MIL,94,TOR,100
"Thu, May 30, 2019",GSW,109,TOR,118
"Sun, Jun 2, 2019",GSW,109,TOR,104
"Wed, Jun 5, 2019",TOR,123,GSW,109
"Fri, Jun 7, 2019",TOR,105,GSW,92
"Mon, Jun 10, 2019",GSW,106,TOR,105
"Thu, Jun 13, 2019",TOR,114,GSW,110
