Acronym,Team,Rating
ATL,Atlanta Hawks,1500
BKN,Brooklyn Nets,1500
BOS,Boston Celtics,1500
CHA,Charlotte Hornets,1500
CHI,Chicago Bulls,1500
CLE,Cleveland Cavaliers,1500
DAL,Dallas Mavericks,1500
DEN,Denver Nuggets,1500
DET,Detroit Pistons,1500
GSW,Golden State Warriors,1500
HOU,Houston Rockets,1500
IND,Indiana Pacers,1500
LAC,Los Angeles Clippers,1500
LAL,Los Angeles Lakers,1500
MEM,Memphis Grizzlies,1500
MIA,Miami Heat,1500
MIL,Milwaukee Bucks,1500
MIN,Minnesota Timberwolves,1500
NOP,New Orleans Pelicans,1500
NYK,New York Knicks,1500
OKC,Oklahoma City Thunder,1500
ORL,Orlando Magic,1500
PHI,Philadelphia 76ers,1500
PHX,Phoenix Suns,1500
POR,Portland Trail Blazers,1500
SAC,Sacramento Kings,1500
SAS,San Antonio Spurs,1500
TOR,Toronto Raptors,1500
UTA,Utah Jazz,1500
WAS,Washington Wizards,1500
